--------------------------------------------------------------------------------------------------------
system size:                                                                                       512  
d-field:                                                                                           0    
beta:                                                                                              10   
boundary conditions:                                                                           periodic 
--------------------------------------------------------------------------------------------------------
energy:                                                                                 -716.8011.2e+02 
string corr. squared:                                                                   -nan    -nan    
staggered mag. squared:                                                                 909.927 1.6e+06 
--------------------------------------------------------------------------------------------------------
Site  <S_i^zS_j^z>  error     <(S_i^z)^2>  error     <S_i^z>  error     
285   -0.001        4.2e-02   0.667        1.2e-02   0.006    1.5e-01   
286   0.002         4.2e-02   0.666        1.2e-02   -0.007   1.5e-01   
287   -0.003        4.2e-02   0.667        1.2e-02   0.006    1.5e-01   
288   0.003         4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
289   -0.004        4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
290   0.004         4.2e-02   0.665        1.2e-02   -0.001   1.5e-01   
291   -0.003        4.2e-02   0.665        1.2e-02   0.001    1.5e-01   
292   0.003         4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
293   -0.004        4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
294   0.003         4.2e-02   0.667        1.2e-02   0.000    1.5e-01   
295   -0.003        4.2e-02   0.666        1.2e-02   0.001    1.5e-01   
296   0.003         4.2e-02   0.667        1.3e-02   -0.001   1.5e-01   
297   -0.001        4.2e-02   0.666        1.2e-02   0.002    1.5e-01   
298   0.003         4.2e-02   0.667        1.2e-02   -0.003   1.5e-01   
299   -0.003        4.2e-02   0.667        1.2e-02   0.003    1.5e-01   
300   0.002         4.2e-02   0.667        1.3e-02   -0.005   1.5e-01   
301   -0.001        4.2e-02   0.667        1.2e-02   0.006    1.5e-01   
302   0.002         4.2e-02   0.668        1.2e-02   -0.005   1.5e-01   
303   -0.002        4.2e-02   0.668        1.2e-02   0.006    1.5e-01   
304   0.002         4.3e-02   0.667        1.2e-02   -0.007   1.5e-01   
305   -0.002        4.2e-02   0.667        1.2e-02   0.008    1.5e-01   
306   0.002         4.3e-02   0.667        1.2e-02   -0.007   1.5e-01   
